id,name,sortorder,parent
1,pending,19,NULL
2,"Perfect match",2,NULL
3,"Partial match",3,NULL
4,"Structural match",4,NULL
5,Keyword,5,NULL
43,"Nathan Field",20,NULL
44,"William Shakespeare",21,NULL
51,"Ben Jonson",22,NULL
52,"Richard Burbage",23,NULL
53,"Edward Alleyn",24,NULL
54,"Henry Condell",25,NULL
60,"William Kempe",27,NULL
61,"Robert Armin",28,NULL
62,"William Barksted",29,NULL
63,"Joseph Taylor",30,NULL
64,"Stephen Hammerton",31,NULL
65,"Alexander Cooke",32,NULL
66,"William Ostler",33,NULL
67,"John  Heminges",34,NULL
68,"John Underwood",35,NULL
69,"Nicholas Tooley",36,NULL
70,"William Ecclestone",37,NULL
71,"John Lowin",38,NULL
72,"Richard Robinson",39,NULL
73,"Christopher Beeston",40,NULL
74,"Robert Benfield",41,NULL
75,"Alexander Gough",42,NULL
76,"William Sly",43,NULL
77,"Augustine Phillips",44,NULL
79,"Richard Cowley",46,NULL
80,"Charles Hart",47,NULL
81,"John Honyman",48,NULL
82,"Andrew Pennycuicke",49,NULL
83,"Thomas Pollard",50,NULL
84,"Thomas Pope",51,NULL
85,"Samuel Rowley",52,NULL
86,"William Rowley",53,NULL
87,"Timothy Read",54,NULL
88,"Richard Perkins",55,NULL
89,"William Robbins",56,NULL
90,"William Allen",57,NULL
91,"Anthony Turner",58,NULL
92,"Richard Sharpe",59,NULL
93,"Robert Gough",60,NULL
94,"Elizabeth Barry",61,NULL
95,"Thomas Betterton",62,NULL
96,"Rebecca Marshall",63,NULL
97,"William WIntershall",64,NULL
98,"Michael Mohun",65,NULL
99,"Edward Kynaston",66,NULL
100,"William Cartwright",67,NULL
101,"Elizabeth Cox",68,NULL
102,"Elizabeth James",69,NULL
103,"Elizabeth Boutell",70,NULL
104,"Nicholas Burt",71,NULL
105,"John Sinklo",72,NULL
