id,name,sortorder,parent
429,Admirals_Men,19,4.0
360,Another,130,6.0
468,Beestons_Boys,37,4.0
510,CAMBRIDGE_Christs_College,99,182.0
479,CAMBRIDGE_Kings_College_,80,182.0
464,CAMBRIDGE_St._Johns_College,71,182.0
450,CAMBRIDGE_Trinity_College,64,182.0
422,Children_of_Pauls,15,4.0
423,Children_of_the_Chapel_Royal,16,4.0
442,Children_of_the_Kings_Revels,27,4.0
428,Children_of_the_Queens_Revels,18,4.0
463,Children_of_the_Whitefriars,35,4.0
13,Claudius,4,4.0
39,Closet_Scene_IIIiv,11,6.0
467,DUBLIN_Werburgh_Street_Theatre,73,182.0
447,Derbys_Men,29,4.0
475,ESSEX_Wanstead_Manor,77,182.0
453,Earl_of_Bridgewaters_household,31,4.0
491,Earl_of_Huntingdons_household,42,4.0
494,Earl_of_Oxfords_Boys,43,4.0
461,Earl_of_Oxfords_Men,34,4.0
62,Elsinore__Wittenberg,12,4.0
454,English_court,32,4.0
307,Fortinbras,4,4.0
509,GREECE_Hellespont,98,182.0
496,GREECE_Mount_Ossa,90,182.0
498,GREECE_Philippi,92,182.0
274,Gertrude,5,4.0
310,Ghost_or_Old_Hamlet,6,4.0
301,Ghost_scenes,12,6.0
300,Gravedigger_scene_Vi,9,6.0
22,Gravediggers_or_clowns,7,4.0
344,Hamlet,4,4.0
367,Hamlet&039;s_Oedipus_complex,16,6.0
456,Hamlet_read_by_fictional_characters,135,6.0
336,Hamlet_without_the_prince,6,6.0
297,Hamlets_indecision_and_melancholy,3,6.0
279,Hamlets_madness,2,6.0
309,Horatio,8,4.0
466,John_Ogilbys_Company,36,4.0
417,Kings_Men,1,4.0
474,Kings_Revels_Company,39,4.0
490,LEICESTERSHIRE_Ashby_de_la_Zouch_Castle,87,182.0
513,LONDON_Aldgate,101,182.0
457,LONDON_Archbishops_Palace,67,182.0
455,LONDON_Banqueting_House,66,182.0
420,LONDON_Blackfriars,53,182.0
458,LONDON_Boars_Head,68,182.0
425,LONDON_Cockpit,55,182.0
504,LONDON_Cuckolds_Haven,95,182.0
427,LONDON_Curtain_Theatre,56,182.0
508,LONDON_Dorset_Garden_Theatre,97,182.0
444,LONDON_Fortune_Playhouse,61,182.0
416,LONDON_Globe_Theatre,4,182.0
486,LONDON_Greenwich_Palace,86,182.0
462,LONDON_Hope_Theatre,70,182.0
522,LONDON_Hoxton,108,182.0
473,LONDON_Hyde_Park,76,182.0
449,LONDON_Inner_Temple,63,182.0
500,LONDON_Isle_of_Dogs,93,182.0
514,LONDON_Islington,102,182.0
495,LONDON_Middle_Temple,89,182.0
471,LONDON_Moorfield,74,182.0
520,LONDON_Newgate_Prison,107,182.0
432,LONDON_Red_Bull,58,182.0
438,LONDON_Rose_Theatre,60,182.0
519,LONDON_Rotten_Row,106,182.0
445,LONDON_Salisbury_Court,62,182.0
478,LONDON_Somerset_House,79,182.0
516,LONDON_St._Pauls_Playhouse,104,182.0
459,LONDON_Swan_Theatre,69,182.0
421,LONDON_The_Theatre,54,182.0
507,LONDON_Theatre_Royal,96,182.0
512,LONDON_Thomas_Cranmers_House,100,182.0
431,LONDON_Whitefriars,57,182.0
493,LONDON_Whitehall_Palace,88,182.0
435,LONDON_unknown_venue,59,182.0
430,Lady_Elizabeths_Men,20,4.0
370,Laertes,14,4.0
469,Leicesters_Men,38,4.0
418,Lord_Chamberlains_Lord_Hunsdons_Men,2,4.0
446,Lord_Stranges_Men,28,4.0
476,Marquess_of_Buckinghams_household,40,4.0
369,NOT_in_Hamlet,131,6.0
4,Name_Company,4,
472,OXFORD_Christ_Church_College,75,182.0
502,OXFORD_St_Johns_College,94,182.0
465,OXFORD_Trinity_College_,72,182.0
515,OXFORD_unknown_location,103,182.0
364,Old_Hamlets_murder,15,6.0
342,Ophelia,4,4.0
290,Ophelias_death,4,6.0
291,Ophelias_madness,5,6.0
361,Others,13,4.0
440,Pembrokes_Men,26,4.0
33,Polonius,9,4.0
362,Polonius_advice_to_Laertes,14,6.0
460,Prince_Charles_Duke_of_Yorks_Men,33,4.0
433,Queen_Annes_Men,21,4.0
424,Queen_Henriettas_Men,17,4.0
434,Queens_Men,22,4.0
480,ROME_Aventine_Hill,81,182.0
481,ROME_Capitol,82,182.0
477,RUTLAND_BurleyontheHill,78,182.0
521,Red_Bull_Company,47,4.0
448,Revels_Company,30,4.0
302,Revenge,7,6.0
23,Rosencrantz__Guildenstern,10,4.0
451,SHROPSHIRE_Ludlow_Castle,65,182.0
518,SYRIA_Aleppo,105,182.0
6,Scene_or_motif,5,
489,Sussexs_Men,41,4.0
497,TURKEY_Callipolis,91,182.0
506,The_Duke&039;s_Company,45,4.0
505,The_Kings_Company,44,4.0
511,The_Prince&039;s_Men,46,4.0
437,The_Queen_Majestys_Servants,24,4.0
368,The_cockcrow_Ii,17,6.0
182,The_play_Venue_Theatre,2,
49,The_playwithintheplay,10,6.0
306,The_skull,8,6.0
298,To_be_or_not_to_be,1,6.0
439,Worcesters_Men,25,4.0
308,Yorick,11,4.0
183,_Hamlet_performed_in_fiction,50,182.0
184,_Hamlet_unspecified,52,182.0
