id,name,supergenre,sortorder,parent
7,ALL_DRAMA,Fiction,3,1.0
6,ALL_POETRY,Fiction,2,1.0
20,ALL_PROSE_FICTION,Fiction,1,1.0
25,Academic,Nonfiction,2,4.0
399,Advertisement,,15,261.0
386,Annotated_edition,,17,4.0
16,Anthology,Nonfiction,5,4.0
270,Biographical_or_historicizing,Fiction,3,20.0
283,Cartoon,Other,5,261.0
78,Childrens_writing,Fiction,7,20.0
118,Closet_drama,Fiction,4,6.0
369,Comedy,,10,7.0
353,Comic_strip_or_other,Fiction,8,20.0
396,Conversation,,12,261.0
321,Crime_fiction,Fiction,2,20.0
301,Dance_and_performance,Other,4,261.0
32,Diary,Nonfiction,7,4.0
406,Educational,,18,4.0
202,Epic_and_verse_narrative,Fiction,3,6.0
29,Essay,Nonfiction,8,4.0
1,Fiction,Fiction,1,
388,Fulltext_database,,11,261.0
319,Gothic,Fiction,4,20.0
370,History_play,,11,7.0
30,Journalism,Nonfiction,1,4.0
26,Letter,Nonfiction,10,4.0
397,Manuscript_miscellany,,13,261.0
391,Masque_or_other,,23,7.0
302,Music,Other,2,261.0
4,NONFICTION,Nonfiction,2,
262,Name_or_anagram_or_other,Other,6,261.0
261,OTHER_GENRES,Other,3,
343,Official_document,Nonfiction,11,4.0
394,Opera_or_musical_theatre,,5,1.0
19,Other_nonfiction,Nonfiction,16,4.0
350,Pamphlet_or_liturgical_text,Nonfiction,15,4.0
81,Poetry_unspecified,Fiction,1,6.0
322,Prose_unspecified,Fiction,1,20.0
375,Romance,,14,7.0
75,Romance_prose,Fiction,6,20.0
407,Scholarly_database,,19,4.0
320,Science_fiction_or_fantasy,Fiction,5,20.0
82,Song_or_ballad,Fiction,2,6.0
33,Speech_or_sermon,Nonfiction,13,4.0
367,TV_film_radio_games,,4,1.0
403,The_Bible,,16,261.0
71,Theatre,Fiction,1,7.0
368,Tragedy,,9,7.0
374,Tragicomedy,,13,7.0
398,Tweet_or_chat_or_post,,14,261.0
390,Verse_satire,,6,6.0
306,Visual_arts,Other,1,261.0
