id,name,sortorder,parent
27,Adaptation,3,
59,Illustration,12,
2,Local_reference,1,
84,MQ_ANOMALY_Grammar,32,
69,MQ_ANOMALY_Languageswitch,18,
77,MQ_ANOMALY_Nominalization,26,
85,MQ_ANOMALY_Other_thing,33,
76,MQ_ANOMALY_Poetryswitch,25,
79,MQ_CONTEXT,28,
37,MQ_GENRE,5,
70,MQ_TYPOGRAPHY_Commonplace,19,
86,MQ_TYPOGRAPHY_Heading,34,
68,MQ_TYPOGRAPHY_Italics,17,
80,MQ_TYPOGRAPHY_Other,29,
75,MQ_TYPOGRAPHY_Quotemarks,24,
82,MQ_TYPOGRAPHY_Setoff,31,
78,MQ_VERBAL_Generalization,27,
73,MQ_VERBAL_Noun,22,
72,MQ_VERBAL_Others,21,
71,MQ_VERBAL_Say,20,
74,MQ_VERBAL_Verb,23,
81,MQ_VERBAL_likeas,30,
56,Musical_setting,7,
47,Offshoot,4,
48,Recurrent_references,2,
53,Shakespeare_biofiction,6,
58,Translation,11,
