id,name,sortorder,parent
33,ANOMALY,7,117.0
40,Anomaly_other,12,33.0
34,Archaism,2,33.0
142,Commonplace_markers,8,24.0
126,Generalization,14,6.0
78,Grammar,5,33.0
141,Heading,7,24.0
120,Italics,5,24.0
36,Language_switch,3,33.0
80,MARKING_BY_NAME,8,117.0
83,MARKING_BY_genre,9,117.0
6,MARKING_VERBAL,4,117.0
84,MARKING_visual_or_other,10,117.0
117,Marked,2,
99,Metalinguistic_noun,4,6.0
95,Nominalisation,4,33.0
81,Other_verb,3,6.0
119,ProsePoetry_switch,13,33.0
28,Quotation_marks,2,24.0
114,Set_off,3,24.0
24,TYPOGRAPHY,6,117.0
66,Typography_other,4,24.0
4,Unmarked,3,
98,Verb_to_say,2,6.0
18,Verbal_other,5,6.0
115,Verbal_pending,12,6.0
123,like_or_as,13,6.0
